strain	strain_name	date	country	host	genotype	subgenotype
KF779317	None	2000-XX-XX	USA	None	A	A2
KF779338	None	2002-XX-XX	USA	None	A	A2
KF779339	None	2002-XX-XX	USA	None	A	A2
KF779355	None	2003-XX-XX	USA	None	A	None
KF779275	None	2003-XX-XX	USA	None	A	None
KF779344	None	2003-XX-XX	USA	None	A	None
KF779363	None	2004-XX-XX	USA	None	A	None
KF779345	None	2003-XX-XX	USA	None	A	None
KF779362	None	2004-XX-XX	USA	None	A	None
KF779364	None	2004-XX-XX	USA	None	A	None
KF779378	None	2001-XX-XX	USA	None	A	A2
KF779336	None	2002-XX-XX	USA	None	A	A2
KF779279	None	2005-XX-XX	USA	None	A	None
KF779346	None	2003-XX-XX	USA	None	A	None
KF779347	None	2003-XX-XX	USA	None	A	None
KF779367	None	2004-XX-XX	USA	None	A	None
KF779326	None	2001-XX-XX	USA	None	A	A2
KF779348	None	2003-XX-XX	USA	None	A	None
KF779352	None	2003-XX-XX	USA	None	A	None
KF779368	None	2004-XX-XX	USA	None	A	None
KF779369	None	2005-XX-XX	USA	None	A	None
KF779373	None	2005-XX-XX	USA	None	A	None
KF779329	None	2001-XX-XX	USA	None	A	A2
KF779371	None	2005-XX-XX	USA	None	A	None
KF779243	None	2004-XX-XX	USA	None	A	None
KF779251	None	1998-XX-XX	USA	None	A	A2
KF779262	None	1999-XX-XX	USA	None	A	A2
KF779310	None	2005-XX-XX	USA	None	A	None
KF779314	None	1998-XX-XX	USA	None	A	A2
KF779313	None	1998-XX-XX	USA	None	A	A2
KF779258	None	1999-XX-XX	USA	None	A	A2
KF779253	None	1998-XX-XX	USA	None	A	A2
KF779255	None	1998-XX-XX	USA	None	A	A2
KF779259	None	1999-XX-XX	USA	None	A	A2
KF779244	None	2004-XX-XX	USA	None	A	None
KF779366	None	2004-XX-XX	USA	None	A	None
KF779246	None	2004-XX-XX	USA	None	A	None
KF779247	None	2005-XX-XX	USA	None	A	None
KF779248	None	2005-XX-XX	USA	None	A	None
KF779245	None	2004-XX-XX	USA	None	A	None
KF779286	None	1999-XX-XX	USA	None	A	A2
KF779287	None	1999-XX-XX	USA	None	A	A2
KF779290	None	2000-XX-XX	USA	None	A	A2
KF779294	None	2001-XX-XX	USA	None	A	A2
KF779291	None	2000-XX-XX	USA	None	A	A2
KF779298	None	2001-XX-XX	USA	None	A	A2
KF779232	None	2003-XX-XX	USA	None	A	None
KF779231	None	2003-XX-XX	USA	None	A	None
KF779319	None	2000-XX-XX	USA	None	A	A2
KF779304	None	2002-XX-XX	USA	None	A	A2
KF779322	None	2001-XX-XX	USA	None	A	A2
KF779323	None	2001-XX-XX	USA	None	A	A2
KF779325	None	2001-XX-XX	USA	None	A	A2
KF779324	None	2001-XX-XX	USA	None	A	A2
KF779386	None	2001-XX-XX	USA	None	A	A2
KF779305	None	2003-XX-XX	USA	None	A	None
KF779238	None	2004-XX-XX	USA	None	A	None
KF779278	None	2005-XX-XX	USA	None	A	None
KF779370	None	2005-XX-XX	USA	None	A	None
KF779240	None	2004-XX-XX	USA	None	A	None
KF779385	None	2000-XX-XX	USA	None	A	A2
KF779316	None	1999-XX-XX	USA	None	A	A2
KF779337	None	2002-XX-XX	USA	None	A	A2
KF779252	None	1998-XX-XX	USA	None	A	A2
KF779239	None	2004-XX-XX	USA	None	A	None
KF779312	None	1998-XX-XX	USA	None	A	A2
KF779342	None	2002-XX-XX	USA	None	A	A2
KF779331	None	2001-XX-XX	USA	None	A	A2
KF779328	None	2001-XX-XX	USA	None	A	A2
KF779359	None	2004-XX-XX	USA	None	A	None
KF779358	None	2004-XX-XX	USA	None	A	None
KF779354	None	2003-XX-XX	USA	None	A	None
KF779330	None	2001-XX-XX	USA	None	A	A2
KF779249	None	2005-XX-XX	USA	None	A	None
KF779309	None	2005-XX-XX	USA	None	A	None
KF779308	None	2004-XX-XX	USA	None	A	None
KF779372	None	2005-XX-XX	USA	None	A	None
KF779280	None	2005-XX-XX	USA	None	A	None
KF779283	None	2005-XX-XX	USA	None	A	None
KF779281	None	2005-XX-XX	USA	None	A	None
KF779270	None	2003-XX-XX	USA	None	A	None
KF779306	None	2003-XX-XX	USA	None	A	None
KF779383	None	2005-XX-XX	USA	None	A	None
KF779274	None	2003-XX-XX	USA	None	A	None
KF779282	None	2005-XX-XX	USA	None	A	None
KF779269	None	2003-XX-XX	USA	None	A	None
KF779349	None	2003-XX-XX	USA	None	A	None
KF779356	None	2004-XX-XX	USA	None	A	None
KF779374	None	2006-XX-XX	USA	None	A	None
KF779276	None	2004-XX-XX	USA	None	A	None
KF779375	None	2006-XX-XX	USA	None	A	None
KF779277	None	2004-XX-XX	USA	None	A	None
KF779261	None	1999-XX-XX	USA	None	A	A2
KF779264	None	2000-XX-XX	USA	None	A	A2
KF779360	None	2004-XX-XX	USA	None	A	None
KF779263	None	1999-XX-XX	USA	None	A	A2
KF779320	None	2000-XX-XX	USA	None	A	A2
KF779321	None	2000-XX-XX	USA	None	A	A2
KF779257	None	1999-XX-XX	USA	None	A	A2
KF779365	None	2004-XX-XX	USA	None	A	None
KF779297	None	2001-XX-XX	USA	None	A	A2
KF779334	None	2002-XX-XX	USA	None	A	A2
KF779268	None	2000-XX-XX	USA	None	A	A2
KF779284	None	1999-XX-XX	USA	None	A	A2
KF779361	None	2004-XX-XX	USA	None	A	None
KF779311	None	1998-XX-XX	USA	None	A	A2
KF779295	None	2001-XX-XX	USA	None	A	A2
KF779254	None	1998-XX-XX	USA	None	A	A2
KF779333	None	2002-XX-XX	USA	None	A	A2
MZ043078	None	2022-10-29	Germany	Homo sapiens	A	None
JQ707532	None	1998-09-28	USA	Homo sapiens	A	None
JQ707533	None	1998-09-28	USA	Homo sapiens	A	None
JQ707535	None	1998-09-28	USA	Homo sapiens	A	None
JQ707539	None	1998-09-28	USA	Homo sapiens	A	None
JQ707542	None	1998-09-28	USA	Homo sapiens	A	None
JQ707554	None	1998-09-28	USA	Homo sapiens	A	None
JQ707545	None	1998-09-28	USA	Homo sapiens	A	None
JQ707538	None	1998-09-28	USA	Homo sapiens	A	None
JQ707541	None	1998-09-28	USA	Homo sapiens	A	None
JQ707543	None	1998-09-28	USA	Homo sapiens	A	None
JQ707546	None	1998-09-28	USA	Homo sapiens	A	None
JQ707549	None	1998-09-28	USA	Homo sapiens	A	None
JQ707555	None	1998-09-28	USA	Homo sapiens	A	None
JQ707566	None	1998-09-28	USA	Homo sapiens	A	None
JQ707567	None	1998-09-28	USA	Homo sapiens	A	None
JQ707568	None	1998-09-28	USA	Homo sapiens	A	None
JQ707564	None	1998-09-28	USA	Homo sapiens	A	None
JQ707560	None	1998-09-28	USA	Homo sapiens	A	None
JQ707573	None	1998-09-28	USA	Homo sapiens	A	None
JQ707562	None	1998-09-28	USA	Homo sapiens	A	None
JQ707556	None	1998-09-28	USA	Homo sapiens	A	None
JQ707558	None	1998-09-28	USA	Homo sapiens	A	None
JQ707552	None	1998-09-28	USA	Homo sapiens	A	None
JQ707557	None	1998-09-28	USA	Homo sapiens	A	None
JQ707548	None	1998-09-28	USA	Homo sapiens	A	None
JQ707550	None	1998-09-28	USA	Homo sapiens	A	None
JQ707544	None	1998-09-28	USA	Homo sapiens	A	None
JQ707559	None	1998-09-28	USA	Homo sapiens	A	None
JQ707572	None	1998-09-28	USA	Homo sapiens	A	None
JQ707547	None	1998-09-28	USA	Homo sapiens	A	None
JQ707569	None	1998-09-28	USA	Homo sapiens	A	None
JQ707571	None	1998-09-28	USA	Homo sapiens	A	None
JQ707534	None	1998-09-28	USA	Homo sapiens	A	None
JQ707570	None	1998-09-28	USA	Homo sapiens	A	None
JQ707561	None	1998-09-28	USA	Homo sapiens	A	None
JQ707551	None	1998-09-28	USA	Homo sapiens	A	None
JQ707563	None	1998-09-28	USA	Homo sapiens	A	None
JQ707536	None	1998-09-28	USA	Homo sapiens	A	None
JQ707577	None	2002-03-07	USA	Homo sapiens	A	None
JQ707601	None	2002-03-07	USA	Homo sapiens	A	None
JQ707575	None	2002-03-07	USA	Homo sapiens	A	None
JQ707583	None	2002-03-07	USA	Homo sapiens	A	None
JQ707581	None	2002-03-07	USA	Homo sapiens	A	None
JQ707587	None	2002-03-07	USA	Homo sapiens	A	None
JQ707579	None	2002-03-07	USA	Homo sapiens	A	None
JQ707588	None	2002-03-07	USA	Homo sapiens	A	None
JQ707591	None	2002-03-07	USA	Homo sapiens	A	None
JQ707580	None	2002-03-07	USA	Homo sapiens	A	None
JQ707576	None	2002-03-07	USA	Homo sapiens	A	None
JQ707589	None	2002-03-07	USA	Homo sapiens	A	None
JQ707590	None	2002-03-07	USA	Homo sapiens	A	None
JQ707592	None	2002-03-07	USA	Homo sapiens	A	None
JQ707537	None	1998-09-28	USA	Homo sapiens	A	None
JQ707609	None	2000-04-17	USA	Homo sapiens	A	None
JQ707624	None	2000-04-17	USA	Homo sapiens	A	None
JQ707637	None	2000-04-17	USA	Homo sapiens	A	None
JQ707612	None	2000-04-17	USA	Homo sapiens	A	None
JQ707618	None	2000-04-17	USA	Homo sapiens	A	None
JQ707620	None	2000-04-17	USA	Homo sapiens	A	None
JQ707614	None	2000-04-17	USA	Homo sapiens	A	None
JQ707631	None	2000-04-17	USA	Homo sapiens	A	None
JQ707629	None	2000-04-17	USA	Homo sapiens	A	None
JQ707611	None	2000-04-17	USA	Homo sapiens	A	None
JQ707619	None	2000-04-17	USA	Homo sapiens	A	None
JQ707621	None	2000-04-17	USA	Homo sapiens	A	None
JQ707626	None	2000-04-17	USA	Homo sapiens	A	None
JQ707632	None	2000-04-17	USA	Homo sapiens	A	None
JQ707613	None	2000-04-17	USA	Homo sapiens	A	None
JQ707610	None	2000-04-17	USA	Homo sapiens	A	None
JQ707616	None	2000-04-17	USA	Homo sapiens	A	None
JQ707623	None	2000-04-17	USA	Homo sapiens	A	None
JQ707625	None	2000-04-17	USA	Homo sapiens	A	None
JQ707617	None	2000-04-17	USA	Homo sapiens	A	None
JQ707615	None	2000-04-17	USA	Homo sapiens	A	None
JQ707633	None	2000-04-17	USA	Homo sapiens	A	None
JQ707636	None	2000-04-17	USA	Homo sapiens	A	None
JQ707622	None	2000-04-17	USA	Homo sapiens	A	None
JQ707627	None	2000-04-17	USA	Homo sapiens	A	None
JQ707638	None	2001-08-08	USA	Homo sapiens	A	None
JQ707639	None	2001-08-08	USA	Homo sapiens	A	None
JQ707640	None	2001-08-08	USA	Homo sapiens	A	None
JQ707648	None	2001-08-08	USA	Homo sapiens	A	None
JQ707651	None	2001-08-08	USA	Homo sapiens	A	None
JQ707642	None	2001-08-08	USA	Homo sapiens	A	None
JQ707643	None	2001-08-08	USA	Homo sapiens	A	None
JQ707645	None	2001-08-08	USA	Homo sapiens	A	None
JQ707653	None	2001-08-08	USA	Homo sapiens	A	None
JQ707656	None	2001-08-08	USA	Homo sapiens	A	None
JQ707644	None	2001-08-08	USA	Homo sapiens	A	None
JQ707650	None	2001-08-08	USA	Homo sapiens	A	None
JQ707652	None	2001-08-08	USA	Homo sapiens	A	None
JQ707647	None	2001-08-08	USA	Homo sapiens	A	None
JQ707646	None	2001-08-08	USA	Homo sapiens	A	None
JQ707641	None	2001-08-08	USA	Homo sapiens	A	None
JQ707649	None	2001-08-08	USA	Homo sapiens	A	None
JQ707654	None	2001-08-08	USA	Homo sapiens	A	None
JQ707655	None	2001-08-08	USA	Homo sapiens	A	None
JQ707630	None	2000-04-17	USA	Homo sapiens	A	None
JQ707628	None	2000-04-17	USA	Homo sapiens	A	None
JQ707634	None	2000-04-17	USA	Homo sapiens	A	None
JQ707635	None	2000-04-17	USA	Homo sapiens	A	None
JQ707582	None	2002-03-07	USA	Homo sapiens	A	None
JQ707595	None	2002-03-07	USA	Homo sapiens	A	None
JQ707659	None	2003-04-04	USA	Homo sapiens	A	None
JQ707663	None	2003-04-04	USA	Homo sapiens	A	None
JQ707667	None	2003-04-04	USA	Homo sapiens	A	None
JQ707664	None	2003-04-04	USA	Homo sapiens	A	None
JQ707665	None	2003-04-04	USA	Homo sapiens	A	None
JQ707672	None	2003-04-04	USA	Homo sapiens	A	None
JQ707674	None	2003-04-04	USA	Homo sapiens	A	None
JQ707676	None	2003-04-04	USA	Homo sapiens	A	None
JQ707661	None	2003-04-04	USA	Homo sapiens	A	None
JQ707669	None	2003-04-04	USA	Homo sapiens	A	None
KF779221	None	2001-XX-XX	USA	None	A	A2
KF779381	None	2004-XX-XX	USA	None	A	None
KF779272	None	2003-XX-XX	USA	None	A	None
KF779260	None	1999-XX-XX	USA	None	A	A2
KF779265	None	2000-XX-XX	USA	None	A	A2
JQ707299	None	1996-10-09	USA	Homo sapiens	A	None
JQ707302	None	1996-10-09	USA	Homo sapiens	A	None
JQ707311	None	1996-10-09	USA	Homo sapiens	A	None
JQ707333	None	1996-10-09	USA	Homo sapiens	A	None
JQ707308	None	1996-10-09	USA	Homo sapiens	A	None
JQ707341	None	1996-10-09	USA	Homo sapiens	A	None
JQ707342	None	1996-10-09	USA	Homo sapiens	A	None
JQ707320	None	1996-10-09	USA	Homo sapiens	A	None
JQ707339	None	1996-10-09	USA	Homo sapiens	A	None
JQ707304	None	1996-10-09	USA	Homo sapiens	A	None
JQ707310	None	1996-10-09	USA	Homo sapiens	A	None
JQ707307	None	1996-10-09	USA	Homo sapiens	A	None
JQ707336	None	1996-10-09	USA	Homo sapiens	A	None
JQ707321	None	1996-10-09	USA	Homo sapiens	A	None
JQ707343	None	1996-10-09	USA	Homo sapiens	A	None
JQ707334	None	1996-10-09	USA	Homo sapiens	A	None
JQ707338	None	1996-10-09	USA	Homo sapiens	A	None
JQ707322	None	1996-10-09	USA	Homo sapiens	A	None
JQ707331	None	1996-10-09	USA	Homo sapiens	A	None
JQ707330	None	1996-10-09	USA	Homo sapiens	A	None
JQ707315	None	1996-10-09	USA	Homo sapiens	A	None
JQ707327	None	1996-10-09	USA	Homo sapiens	A	None
JQ707324	None	1996-10-09	USA	Homo sapiens	A	None
JQ707326	None	1996-10-09	USA	Homo sapiens	A	None
JQ707344	None	1996-10-09	USA	Homo sapiens	A	None
JQ707332	None	1996-10-09	USA	Homo sapiens	A	None
JQ707303	None	1996-10-09	USA	Homo sapiens	A	None
JQ707323	None	1996-10-09	USA	Homo sapiens	A	None
JQ707312	None	1996-10-09	USA	Homo sapiens	A	None
JQ707309	None	1996-10-09	USA	Homo sapiens	A	None
JQ707305	None	1996-10-09	USA	Homo sapiens	A	None
JQ707313	None	1996-10-09	USA	Homo sapiens	A	None
JQ707306	None	1996-10-09	USA	Homo sapiens	A	None
JQ707317	None	1996-10-09	USA	Homo sapiens	A	None
JQ707301	None	1996-10-09	USA	Homo sapiens	A	None
JQ707300	None	1996-10-09	USA	Homo sapiens	A	None
JQ707314	None	1996-10-09	USA	Homo sapiens	A	None
JQ707340	None	1996-10-09	USA	Homo sapiens	A	None
JQ707316	None	1996-10-09	USA	Homo sapiens	A	None
JQ707325	None	1996-10-09	USA	Homo sapiens	A	None
JQ707335	None	1996-10-09	USA	Homo sapiens	A	None
JQ707319	None	1996-10-09	USA	Homo sapiens	A	None
JQ707337	None	1996-10-09	USA	Homo sapiens	A	None
JQ707329	None	1996-10-09	USA	Homo sapiens	A	None
JQ707373	None	2002-05-01	USA	Homo sapiens	A	None
JQ707381	None	2002-05-01	USA	Homo sapiens	A	None
JQ707393	None	2002-05-01	USA	Homo sapiens	A	None
JQ707387	None	2002-05-01	USA	Homo sapiens	A	None
JQ707391	None	2002-05-01	USA	Homo sapiens	A	None
JQ707385	None	2002-05-01	USA	Homo sapiens	A	None
JQ707389	None	2002-05-01	USA	Homo sapiens	A	None
JQ707386	None	2002-05-01	USA	Homo sapiens	A	None
JQ707400	None	2003-03-27	USA	Homo sapiens	A	None
JQ707403	None	2003-03-27	USA	Homo sapiens	A	None
JQ707404	None	2003-03-27	USA	Homo sapiens	A	None
JQ707409	None	2003-03-27	USA	Homo sapiens	A	None
JQ707412	None	2003-03-27	USA	Homo sapiens	A	None
JQ707413	None	2003-03-27	USA	Homo sapiens	A	None
JQ707416	None	2003-03-27	USA	Homo sapiens	A	None
JQ707417	None	2003-03-27	USA	Homo sapiens	A	None
JQ707420	None	2003-03-27	USA	Homo sapiens	A	None
JQ707418	None	2003-03-27	USA	Homo sapiens	A	None
JQ707405	None	2003-03-27	USA	Homo sapiens	A	None
JQ707410	None	2003-03-27	USA	Homo sapiens	A	None
JQ707419	None	2003-03-27	USA	Homo sapiens	A	None
JQ707411	None	2003-03-27	USA	Homo sapiens	A	None
JQ707414	None	2003-03-27	USA	Homo sapiens	A	None
JQ707407	None	2003-03-27	USA	Homo sapiens	A	None
JQ707408	None	2003-03-27	USA	Homo sapiens	A	None
JQ707395	None	2002-05-01	USA	Homo sapiens	A	None
JQ707406	None	2003-03-27	USA	Homo sapiens	A	None
JQ707398	None	2002-05-01	USA	Homo sapiens	A	None
JQ707328	None	1996-10-09	USA	Homo sapiens	A	None
JQ707345	None	2002-04-25	USA	Homo sapiens	A	None
JQ707348	None	2002-04-25	USA	Homo sapiens	A	None
JQ707357	None	2002-04-25	USA	Homo sapiens	A	None
JQ707351	None	2002-04-25	USA	Homo sapiens	A	None
JQ707352	None	2002-04-25	USA	Homo sapiens	A	None
JQ707359	None	2002-04-25	USA	Homo sapiens	A	None
JQ707369	None	2002-04-25	USA	Homo sapiens	A	None
JQ707354	None	2002-04-25	USA	Homo sapiens	A	None
JQ707362	None	2002-04-25	USA	Homo sapiens	A	None
JQ707370	None	2002-04-25	USA	Homo sapiens	A	None
JQ707366	None	2002-04-25	USA	Homo sapiens	A	None
JQ707364	None	2002-04-25	USA	Homo sapiens	A	None
JQ707360	None	2002-04-25	USA	Homo sapiens	A	None
JQ707363	None	2002-04-25	USA	Homo sapiens	A	None
JQ707367	None	2002-04-25	USA	Homo sapiens	A	None
JQ707368	None	2002-04-25	USA	Homo sapiens	A	None
JQ707401	None	2003-03-27	USA	Homo sapiens	A	None
JQ707318	None	1996-10-09	USA	Homo sapiens	A	None
KF779293	None	2000-XX-XX	USA	None	A	A2
KF779256	None	1998-XX-XX	USA	None	A	A2
KF779234	None	2003-XX-XX	USA	None	A	None
KF779210	None	1998-XX-XX	USA	None	A	A2
KF779211	None	1999-XX-XX	USA	None	A	A2
MZ043070	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043028	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043047	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043072	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043095	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043042	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043097	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043082	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043051	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043077	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043075	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043060	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043046	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043043	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043094	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043065	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043074	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043050	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043053	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043032	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043081	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043031	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043092	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043052	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043069	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043044	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043033	None	2022-10-29	Germany	Homo sapiens	A	None
KF779213	None	1999-XX-XX	USA	None	A	A2
KF779215	None	1999-XX-XX	USA	None	A	A2
MZ043090	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043071	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043038	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043067	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043059	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043066	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043068	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043062	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043093	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043045	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043029	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043054	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043073	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043087	None	2022-10-29	United Kingdom	Homo sapiens	A	None
MZ043057	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043058	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043085	None	2022-10-29	United Kingdom	Homo sapiens	A	None
DQ298161	None	2016-07-26	Italy	None	A	None
DQ298163	None	2016-07-26	Italy	None	A	None
DQ298164	None	2016-07-26	Italy	None	A	None
DQ298165	None	2016-07-26	Italy	None	A	None
DQ298162	None	2016-07-26	Italy	None	A	None
MZ043064	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043027	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043079	None	2022-10-29	Germany	Homo sapiens	A	None
MN104805	7902	2018-05-01	France	Homo sapiens	A	None
GQ414522	GTA_CT	2009-09-08	Turkey	Homo sapiens	A	None
